symbol,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,grossProfits,freeCashflow,earningsGrowth,currentRatio,returnOnAssets,debtToEquity,returnOnEquity,totalCash,totalDebt,totalRevenue,totalCashPerShare,revenuePerShare,quickRatio,recommendationMean,enterpriseToRevenue,enterpriseToEbitda,forwardEps,sharesOutstanding,sharesShort,sharesPercentSharesOut,heldPercentInstitutions,netIncomeToCommon,trailingEps,heldPercentInsiders,shortRatio,floatShares,enterpriseValue,earningsQuarterlyGrowth,pegRatio,shortPercentOfFloat,sharesShortPriorMonth,averageDailyVolume10Day,averageVolume10days,regularMarketVolume,averageVolume,volume,bidSize,currentPrice
PTGX,-2.9675202,-2.99394,1,-87610000,-0.636,-2.99453,-80770000,28628000,-40109876,,8.652,-0.16192,1.471,-0.31047,354280000,5258000,27218000,7.451,0.655,8.474,1.6,20.038,-6.753,-2.13,47448500,2855152,0.06,1.13066,-81489000,-1.819,0.01442,10.34,29491341,545404288,,,0.0749,3198918,847828,847828,381624,1029201,381624,1400,18.11
VLDR,-2.96659,-2.91392,0.0709,-78681000,-0.521,-3.06345,-241086000,25116000,37104248,,9.761,-0.5426,5.278,-1.10433,353630016,19303000,81267000,1.808,0.466,9.208,2.4,12.009,-4.048,,189684992,18257806,0.0934,0.16137,-236806000,,0.48273,6.39,100349099,975917696,,0.06,0.2547,16276478,3282714,3282714,2361468,3045962,2361468,3200,5.9
CRIS,-2.9555802,0,-1.5713699,-31430000,-0.031,-2.97159,-30271000,-12767000,-18328250,,19.9,-0.16823,4.752,-0.83456004,152570000,5345000,10242000,1.666,0.135,19.699,2,55.114,-18.648,-0.43,91535296,10796090,0.1179,0.90906996,-34256000,-0.479,0.0623,10.19,68502176,564478784,,,0.1182,11602208,941371,941371,1541931,1308232,1541931,2200,7.67
VIVE,-2.9328,0,0.089420006,-12751000,0.112,-3.16391,-16497000,296000,-7309875,,7.922,-0.3764,24.259,-1.05355,28446000,6681000,5625000,2.686,1.603,6.731,1.5,1.271,-0.433,-2.09,10591700,646055,0.061,0.16430001,-25675000,-7.316,2.00E-05,4.54,9916600,7150384,,-0.05,0.061,1080497,174585,174585,200576,470628,200576,800,2.1
BLNK,-2.8870199,0,0.24914,-32339608,1.769,-3.1250699,-28714270,1861328,-23458584,,19.365,-0.15082,1.254,-0.27297002,195617488,2934558,9945971,4.64,0.268,18.575,2.5,110.801,-38.379,-0.55,41984100,12264706,0.2909,0.40308,-32678934,-0.662,0.13969,8.23,36269983,1102026112,,,0.33740002,12164871,1321671,1321671,1686355,1517420,1686355,900,27.15
MNOV,-2.85815,-2.83203,1,-11801692,,-2.86384,-11432618,,-7746232,,44.491,-0.08271,,-0.13684,76301840,0,4000000,1.565,0.088,43.854,1.7,24.085,-8.427,-0.55,48768500,2358663,0.0484,0.34757,-11328137,-0.312,0.02523,1.18,41890226,96338792,,-0.76,0.057600003,3901274,56600,56600,54936,167556,54936,900,3.67
LEV,-2.83762,0,0.084259994,-31631858,4.068,-2.86965,-80644112,3145314,,,0.492,,,,,102159568,28419662,,0.257,0.113,,129.615,-45.677,,188498000,5654355,0.03,0.03224,-107796248,,0.54555,4.4,116696980,3683613952,,,0.0313,3490668,992775,992775,417773,1038880,417773,1000,10.865
CGEM,-2.8169198,-2.47564,1,-26272000,,-2.8201401,-53361000,,,,45.209,,,-0.18632999,440873984,0,18943000,10.131,1.242,44.56,1.7,35.177,-12.488,-2.01,43516100,1936013,0.044499997,0.72075,-46896000,-3.074,0.18389,10.53,22666244,666363264,,,0.0907,1903537,133700,133700,142907,224401,142907,900,24.41
CSCW,-2.7915301,0,0.16886999,-7289293,-0.89,-3.40642,-6504275,,9628526,,9.291,-0.13793999,,-1.14843,381319,0,2330000,0.007,0.077,4.925,,25.806,-9.245,,90356600,1309097,0.014500001,0.011870001,-7919759,,0.26302,0.96,45694429,60129120,,,0.014500001,1699388,5718128,5718128,4268081,2309768,4268081,1100,0.5146
UAVS,-2.78776,-2.87388,0.55346,-3025533,3.349,-2.8851001,-7236177,573733,2774352,,2.895,-0.16209,3.235,-0.35175,24193542,1246475,2595695,0.354,0.05,2.71,,131.656,-47.226,,68956096,11257081,0.16319999,0.11178,-16530589,-0.317,0.13325,3,62879015,341737536,,,0.16459998,10597847,2044650,2044650,994966,1777349,994966,1800,2.885
